drzava,st_dresa,priimek,pozicija,starost,datum_rojstva,visina_cm,tocke_skupaj,tocke_povprecje,tocke_napad,ucinkovitost_napad,napad_povprecje,tocke_blok,uspesnost_blok,blok_povprecje,tocke_servis,uspesnost_servis,servis_povprecje
Brazilija,22,Marcelle,Libero,24,02/02/2002,163cm,0,0.00,0,-,-,0,-,-,0,-,-
Brazilija,26,Larissa,Srednja blokerka,25,02/03/2001,190cm,0,-,0,-,-,0,-,-,0,-,-
Bolgarija,3,Slavcheva,Podajalka,25,09/07/2001,183cm,27,2.25,10,40.00%,0.83,13,17.81%,1.08,4,3.15%,0.33
Bolgarija,6,Paskova,Sprejemalka,30,16/02/1996,181cm,83,6.92,72,30.90%,6.00,5,11.63%,0.42,6,5.17%,0.50
Bolgarija,8,D. Ivanova,Podajalka,18,01/12/2007,177cm,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
Bolgarija,13,Pashkuleva,Libero,22,06/09/2003,168cm,0,0.00,0,-,-,0,-,-,0,-,-
Bolgarija,14,B. Saykova,Srednja blokerka,26,14/07/2000,187cm,97,8.08,58,40.85%,4.83,28,21.37%,2.33,11,9.17%,0.92
Bolgarija,15,Todorova,Libero,29,06/01/1997,170cm,0,0.00,0,-,-,0,0.00%,0.00,0,-,-
Bolgarija,18,Naneva,Srednja blokerka,16,10/09/2009,192cm,60,5.00,39,31.45%,3.25,16,19.28%,1.33,5,7.04%,0.42
Bolgarija,19,Milanova A.,Sprejemalka,25,04/07/2001,183cm,106,8.83,92,30.98%,7.67,5,10.42%,0.42,9,5.88%,0.75
